system:index,area_km2,year,class,band,class_name,.geo
11_0_8,79.04957394,1996,24,classification_1996,Urban Infrastructure,"{""type"":""MultiPoint"",""coordinates"":[]}"
11_0_9,126.345275,1996,25,classification_1996,Other Non Vegetated Area,"{""type"":""MultiPoint"",""coordinates"":[]}"
11_0_10,288.7560464,1996,29,classification_1996,Rocky outcrop,"{""type"":""MultiPoint"",""coordinates"":[]}"
11_0_11,196.6102097,1996,33,classification_1996,"River, Lake and Ocean","{""type"":""MultiPoint"",""coordinates"":[]}"
11_0_12,1928.626995,1996,39,classification_1996,Soy Beans,"{""type"":""MultiPoint"",""coordinates"":[]}"
11_0_13,356.6454849,1996,41,classification_1996,Mosaic of Crops,"{""type"":""MultiPoint"",""coordinates"":[]}"
12_0_0,5414.942833,1997,3,classification_1997,Forest Formation,"{""type"":""MultiPoint"",""coordinates"":[]}"
12_0_1,6595.032361,1997,4,classification_1997,Savanna Formation,"{""type"":""MultiPoint"",""coordinates"":[]}"
12_0_2,1.57814763,1997,9,classification_1997,Forest Plantation,"{""type"":""MultiPoint"",""coordinates"":[]}"
12_0_3,626.5874778,1997,11,classification_1997,Wetland,"{""type"":""MultiPoint"",""coordinates"":[]}"
12_0_4,1138.333751,1997,12,classification_1997,"Grassland (Pastizal, Formación Herbácea)","{""type"":""MultiPoint"",""coordinates"":[]}"
12_0_5,7934.760984,1997,15,classification_1997,Pasture,"{""type"":""MultiPoint"",""coordinates"":[]}"
12_0_6,0.1083953153,1997,20,classification_1997,Sugar Cane,"{""type"":""MultiPoint"",""coordinates"":[]}"
12_0_7,2990.82266,1997,21,classification_1997,Mosaic of Agriculture and Pasture,"{""type"":""MultiPoint"",""coordinates"":[]}"
12_0_8,79.76317014,1997,24,classification_1997,Urban Infrastructure,"{""type"":""MultiPoint"",""coordinates"":[]}"
12_0_9,115.1600341,1997,25,classification_1997,Other Non Vegetated Area,"{""type"":""MultiPoint"",""coordinates"":[]}"
12_0_10,288.8212652,1997,29,classification_1997,Rocky outcrop,"{""type"":""MultiPoint"",""coordinates"":[]}"
12_0_11,201.2881309,1997,33,classification_1997,"River, Lake and Ocean","{""type"":""MultiPoint"",""coordinates"":[]}"
12_0_12,1970.767591,1997,39,classification_1997,Soy Beans,"{""type"":""MultiPoint"",""coordinates"":[]}"
12_0_13,367.0541613,1997,41,classification_1997,Mosaic of Crops,"{""type"":""MultiPoint"",""coordinates"":[]}"
13_0_0,5455.404734,1998,3,classification_1998,Forest Formation,"{""type"":""MultiPoint"",""coordinates"":[]}"
13_0_1,6528.118579,1998,4,classification_1998,Savanna Formation,"{""type"":""MultiPoint"",""coordinates"":[]}"
13_0_2,1.529117287,1998,9,classification_1998,Forest Plantation,"{""type"":""MultiPoint"",""coordinates"":[]}"
13_0_3,479.0349388,1998,11,classification_1998,Wetland,"{""type"":""MultiPoint"",""coordinates"":[]}"
13_0_4,1310.950191,1998,12,classification_1998,"Grassland (Pastizal, Formación Herbácea)","{""type"":""MultiPoint"",""coordinates"":[]}"
13_0_5,8294.68341,1998,15,classification_1998,Pasture,"{""type"":""MultiPoint"",""coordinates"":[]}"
13_0_6,0.1023730995,1998,20,classification_1998,Sugar Cane,"{""type"":""MultiPoint"",""coordinates"":[]}"
13_0_7,2514.431996,1998,21,classification_1998,Mosaic of Agriculture and Pasture,"{""type"":""MultiPoint"",""coordinates"":[]}"
13_0_8,80.50633439,1998,24,classification_1998,Urban Infrastructure,"{""type"":""MultiPoint"",""coordinates"":[]}"
13_0_9,113.5227351,1998,25,classification_1998,Other Non Vegetated Area,"{""type"":""MultiPoint"",""coordinates"":[]}"
13_0_10,288.7689483,1998,29,classification_1998,Rocky outcrop,"{""type"":""MultiPoint"",""coordinates"":[]}"
13_0_11,174.7330244,1998,33,classification_1998,"River, Lake and Ocean","{""type"":""MultiPoint"",""coordinates"":[]}"
13_0_12,2080.001419,1998,39,classification_1998,Soy Beans,"{""type"":""MultiPoint"",""coordinates"":[]}"
13_0_13,403.2331627,1998,41,classification_1998,Mosaic of Crops,"{""type"":""MultiPoint"",""coordinates"":[]}"
14_0_0,5456.712825,1999,3,classification_1999,Forest Formation,"{""type"":""MultiPoint"",""coordinates"":[]}"
14_0_1,6357.02534,1999,4,classification_1999,Savanna Formation,"{""type"":""MultiPoint"",""coordinates"":[]}"
14_0_2,1.693867284,1999,9,classification_1999,Forest Plantation,"{""type"":""MultiPoint"",""coordinates"":[]}"
14_0_3,524.0445602,1999,11,classification_1999,Wetland,"{""type"":""MultiPoint"",""coordinates"":[]}"
14_0_4,1256.967378,1999,12,classification_1999,"Grassland (Pastizal, Formación Herbácea)","{""type"":""MultiPoint"",""coordinates"":[]}"
14_0_5,8553.722962,1999,15,classification_1999,Pasture,"{""type"":""MultiPoint"",""coordinates"":[]}"
14_0_6,0.1083677239,1999,20,classification_1999,Sugar Cane,"{""type"":""MultiPoint"",""coordinates"":[]}"
14_0_7,2304.20754,1999,21,classification_1999,Mosaic of Agriculture and Pasture,"{""type"":""MultiPoint"",""coordinates"":[]}"
14_0_8,81.45792605,1999,24,classification_1999,Urban Infrastructure,"{""type"":""MultiPoint"",""coordinates"":[]}"
14_0_9,115.8380911,1999,25,classification_1999,Other Non Vegetated Area,"{""type"":""MultiPoint"",""coordinates"":[]}"
14_0_10,288.763793,1999,29,classification_1999,Rocky outcrop,"{""type"":""MultiPoint"",""coordinates"":[]}"
14_0_11,181.8392613,1999,33,classification_1999,"River, Lake and Ocean","{""type"":""MultiPoint"",""coordinates"":[]}"
14_0_12,2311.310246,1999,39,classification_1999,Soy Beans,"{""type"":""MultiPoint"",""coordinates"":[]}"
14_0_13,291.3288046,1999,41,classification_1999,Mosaic of Crops,"{""type"":""MultiPoint"",""coordinates"":[]}"
